id,Latitude,Longitude
213,219951,141737
214,219969,141275
215,219651,141517
216,219630,142989
217,219656,143023
218,219791,142877
219,220837,143531
220,220998,143301
221,220708,143587
222,219617,143265
223,219796,142884
224,219741,142942
225,219483,143287
226,218973,144002
227,219444,143479
228,219802,144770
229,219965,144497
230,219838,144587
231,218656,143652
232,218183,143763
233,218956,143330
234,220477,144117
235,220440,143695
236,220232,143843
237,218707,140551
238,218778,140759
239,218668,140630
240,218613,143270
241,218654,143385
242,218297,143800
243,220234,142388
244,220262,142224
245,219798,142925
246,219158,145674
247,219466,145049
248,220104,144215
249,218723,140520
250,218617,140554
251,218866,140812
252,220415,144171
253,219880,144732
254,220294,144309
255,219135,143596
256,219040,143806
257,218807,144123
258,218028,144593
259,218438,143545
260,218074,144373
261,220402,143457
262,220197,143519
263,220555,143761
264,220656,143938
265,220748,143720
266,221478,142753
267,221123,143086
268,220607,142705
269,220952,142696
270,219759,144831
271,219700,144903
272,220065,144296
273,219450,143337
274,218933,143968
275,219005,143929
276,220102,144437
277,219843,144853
278,219545,145213
279,220151,143734
280,220451,143603
281,220542,143655
282,219641,144943
283,220270,144250
284,219248,144803
285,220283,144239
286,220060,144689
287,219955,144545
288,217895,144355
289,218224,144899
290,217944,144393
291,218216,143832
292,217976,144485
293,217970,144633
294,218885,144009
295,218847,144193
296,218548,144459
297,220272,144149
298,220002,144589
299,219903,144612
300,221288,143030
301,220900,142766
302,220653,142500
303,219805,144478
304,219589,143470
305,219505,143428
306,218686,144311
307,218876,144168
308,218399,144515
309,218342,144840
310,218114,143968
311,218222,143882
312,219426,143292
313,220109,144062
314,219842,144344
315,220142,143637
316,220250,143578
317,220302,143799
318,220987,143336
319,220675,143837
320,220979,143421
321,219821,141789
322,220057,141974
323,219824,141634
324,218778,140677
325,218747,140633
326,218752,140647
327,218542,143461
328,218470,143491
329,218137,144820
330,218541,143451
331,218090,144565
332,218834,143091
333,220763,143896
334,220455,143898
335,220660,143818
336,219724,142992
337,220039,143148
338,220134,142432
339,219865,144622
340,219914,144757
341,219612,144956
342,220080,141601
343,220107,142034
344,219885,141816
345,220138,144306
346,219360,145249
347,219638,145023
348,219616,141532
349,219217,142394
350,219486,141424
351,221020,142839
352,220570,142433
353,220347,142189
354,219369,141332
355,219270,141265
356,219090,141095
357,219296,141259
358,219230,141365
359,219875,141742
360,219011,143824
361,219018,143910
362,219032,143841
363,219060,143847
364,218997,143939
365,219136,143728
366,218492,144600
367,218579,144267
368,218559,144435
369,219694,144874
370,219462,145154
371,219803,144780
372,219999,141870
373,220295,141988
374,219948,141250
375,219583,143096
376,219918,144346
377,219932,143664
378,219808,142990
379,220004,142474
380,220109,142551
381,219564,141436
382,218935,140849
383,219668,141582
384,219391,145336
385,219485,145067
386,219637,145031
387,221103,142882
388,220940,143441
389,220956,143289
390,220242,144379
391,219654,144985
392,219636,144986
393,218618,144332
394,218645,144390
395,218788,144124
396,221489,142695
397,220947,143484
398,221607,142521
399,218243,144919
400,218959,145300
401,219039,145584
402,220763,143433
403,220641,143720
404,220807,143540
405,221134,143181
406,220994,143073
407,221149,142950
408,218490,145029
409,218416,145077
410,218578,145104
411,220314,142203
412,220150,142348
413,219868,142862
414,220342,143921
415,220310,143670
416,220459,144023
417,220414,142334
418,220814,142786
419,220364,142207
420,218980,144145
421,218999,143936
422,218968,143940
423,220328,142315
424,220602,142440
425,220886,143185
426,219842,142318
427,219948,141926
428,220016,142044
429,220268,144361
430,219670,144993
431,220168,144435
432,220191,144129
433,219958,144100
434,220082,144149
435,218826,140844
436,219390,141366
437,219077,141049
438,220367,143964
439,220547,143814
440,219691,143552
441,220274,142137
442,220367,142220
443,220118,142016
444,218524,144481
445,218793,144230
446,218604,144466
447,218582,144466
448,218742,144220
449,218483,144641
450,218656,144328
451,218447,144587
452,218350,144779
453,219381,144796
454,218375,144902
455,218543,145127
456,218055,144726
457,218324,143814
458,217965,144408
459,220567,143473
460,220691,143921
461,220216,143687
462,219920,141998
463,220010,141874
464,219854,141366
465,219338,141268
466,218850,140795
467,218977,140959
468,221178,143181
469,221276,143001
470,221512,142761
471,219844,144616
472,219859,144373
473,219933,143578
474,218680,145190
475,219044,145470
476,219272,145903
477,219137,145547
478,219632,144925
479,219812,144816
480,220185,142139
481,220049,141880
482,220012,142069
483,218883,145403
484,219027,145326
485,218548,144917
486,220860,143332
487,219943,144611
488,220716,143628
489,220193,143476
490,220496,143763
491,220426,143746
492,219798,144605
493,220282,144197
494,219887,143523
495,219037,145554
496,219904,144664
497,220072,144309
498,218472,144574
499,218847,144035
500,218791,144252
501,218857,144123
502,218926,144070
503,219381,143415
504,221484,142668
505,221450,142692
506,221216,143011
507,219185,145773
508,218292,144749
509,219089,145341
510,218260,143773
511,217764,144412
512,218719,143908
513,220644,142427
514,220773,142946
515,221058,143059
516,219967,143924
517,219490,143262
518,220042,143688
519,220945,143465
520,220682,143221
521,221064,142997
522,219060,140956
523,219786,141617
524,219586,141509
525,221579,142606
526,220811,143521
527,221501,142632
528,220580,143769
529,220311,144034
530,220527,143880
531,218517,145122
532,218412,144795
533,218858,145282
534,218823,143310
535,218285,144946
536,218397,143538
537,218603,144316
538,218516,144285
539,218708,144190
540,219962,141977
541,219912,141598
542,219989,141892
543,220041,142657
544,219752,142831
545,220088,142571
546,221542,142685
547,221148,143220
548,221609,142431
549,220462,144062
550,221062,142937
551,220791,143285
552,218284,143771
553,218219,144898
554,218635,143091
555,220691,143703
556,221178,143142
557,220932,143392
558,219104,141000
559,219142,141053
560,219552,141394
561,220533,142394
562,220853,142969
563,220595,142398
564,221353,142842
565,221229,143211
566,221572,142719
567,219832,144355
568,219990,143794
569,219855,144314
570,219126,143805
571,219384,143411
572,219366,143349
573,220584,142402
574,220683,143431
575,220446,142703
576,220057,142565
577,219626,143196
578,220188,142355
579,219060,143832
580,219305,143460
581,218896,144030
582,220225,142068
583,219850,141846
584,219844,141460
585,219757,143032
586,220393,142491
587,219649,142968
588,220829,143567
589,220602,143658
590,220696,143707
591,220122,142538
592,219828,142873
593,219769,142882
594,218866,144201
595,219044,143891
596,219240,143643
597,220026,144504
598,219642,144893
599,219040,145612
600,218063,144660
601,217889,144226
602,218036,144669
603,220415,143268
604,220393,144110
605,220248,143286
606,218627,140529
607,218623,140640
608,218911,141035
609,217848,144465
610,218203,144718
611,218387,143618
612,219875,142764
613,220045,142641
614,219695,143002
615,220313,144099
616,219982,144550
617,220235,144256
618,218617,140629
619,219067,143146
620,218646,140569
621,219446,145317
622,220396,144104
623,219531,145157
624,219217,143669
625,219190,143702
626,218968,143944
627,218955,143117
628,218113,143957
629,219158,143471
630,220436,143614
631,220537,144054
632,220345,144084
633,221468,142709
634,221017,143245
635,220924,143518
636,220536,142522
637,220563,142523
638,220992,142708
639,219688,144950
640,220188,144460
641,219976,144408
642,219285,143560
643,218987,144016
644,218936,143973
645,219700,144883
646,220340,144186
647,219868,144655
648,220384,143467
649,220563,143821
650,220370,143817
651,219578,145023
652,219227,145413
653,219604,144925
654,219349,145355
655,220151,144375
656,219766,144842
657,218115,144517
658,218779,142919
659,218463,143545
660,218031,144309
661,217850,144328
662,218194,144709
663,218561,144482
664,218470,144585
665,218573,144461
666,220100,144562
667,220310,144219
668,220047,144496
669,220314,142140
670,220501,142313
671,220333,142277
672,220026,143917
673,219812,144428
674,220176,143632
675,218498,144370
676,218623,144431
677,218552,144532
678,218141,144821
679,218620,143341
680,218139,144693
681,220191,144286
682,219769,143578
683,220293,144190
684,220101,143607
685,220472,143660
686,220589,143815
687,220821,143128
688,221569,142704
689,220997,143223
690,219918,141183
691,220179,142064
692,219746,141534
693,218649,140631
694,218715,140738
695,218723,140607
696,218384,143587
697,218561,143410
698,218119,144819
699,217958,144233
700,218079,144146
701,217875,144458
702,220679,143857
703,220120,143722
704,220049,143726
705,219946,142752
706,219663,142816
707,219771,143258
708,220117,144264
709,219824,144773
710,219478,145145
711,220012,141748
712,219912,141623
713,219821,141762
714,219559,144985
715,219418,145168
716,219735,144904
717,219276,141315
718,219591,141548
719,219708,141584
720,220341,142261
721,221167,143030
722,220833,142869
723,219283,141166
724,219085,141055
725,219048,141094
726,219572,141530
727,219517,141444
728,219521,141428
729,219196,143795
730,219363,143513
731,219478,143529
732,219168,143819
733,219462,143644
734,218825,144149
735,218788,144188
736,218466,144563
737,218842,144208
